,State,Year,Homicide rate
2,AK,1/1/2014,6.29
3,AK,1/1/2015,5.6
4,AK,1/1/2014,12.77
5,AK,1/1/2015,18.3
8,AK,1/1/2014,4.92
9,AK,1/1/2015,4.3
14,AK,1/1/2014,4.03
15,AK,1/1/2015,2.7
22,AK,1/1/2014,4.95
23,AK,1/1/2015,4.8
40,AK,1/1/2014,19.37
41,AK,1/1/2015,24.2
46,AL,1/1/2014,3.57
47,AL,1/1/2015,4.6
48,AL,1/1/2014,4.18
49,AL,1/1/2015,4.3
50,AL,1/1/2014,5.13
52,AL,1/1/2014,7.65
53,AL,1/1/2015,7.8
54,AL,1/1/2014,4.08
55,AL,1/1/2015,4.3
58,AL,1/1/2014,9.58
59,AL,1/1/2015,8.2
60,AL,1/1/2014,11.31
61,AL,1/1/2015,12.0
62,AL,1/1/2014,8.21
63,AL,1/1/2015,9.7
66,AL,1/1/2014,4.68
67,AL,1/1/2015,6.2
70,AL,1/1/2014,8.11
71,AL,1/1/2015,7.5
74,AL,1/1/2014,11.67
76,AL,1/1/2014,3.31
77,AL,1/1/2015,3.5
78,AL,1/1/2014,6.04
79,AL,1/1/2015,5.3
80,AL,1/1/2014,10.66
84,AL,1/1/2014,4.2
88,AL,1/1/2014,3.05
89,AL,1/1/2015,2.8
90,AL,1/1/2014,5.77
91,AL,1/1/2015,7.3
92,AL,1/1/2014,19.7
93,AL,1/1/2015,20.6
94,AL,1/1/2014,2.68
95,AL,1/1/2015,3.3
96,AL,1/1/2014,6.2
97,AL,1/1/2015,7.8
98,AL,1/1/2014,9.42
99,AL,1/1/2015,11.4
100,AL,1/1/2014,7.43
101,AL,1/1/2015,7.5
106,AL,1/1/2014,8.13
107,AL,1/1/2015,8.1
108,AL,1/1/2014,18.27
109,AL,1/1/2015,20.8
110,AL,1/1/2014,15.75
111,AL,1/1/2015,13.3
113,AL,1/1/2015,10.7
114,AL,1/1/2014,5.43
115,AL,1/1/2015,4.3
116,AL,1/1/2014,5.08
117,AL,1/1/2015,4.2
118,AL,1/1/2014,17.47
119,AL,1/1/2015,17.0
122,AL,1/1/2014,5.97
123,AL,1/1/2015,6.2
124,AL,1/1/2014,6.67
125,AL,1/1/2015,4.7
126,AL,1/1/2014,7.26
127,AL,1/1/2015,6.5
128,AL,1/1/2014,5.62
129,AL,1/1/2015,4.9
130,AL,1/1/2014,22.7
131,AL,1/1/2015,23.4
132,AL,1/1/2014,28.67
133,AL,1/1/2015,31.4
134,AL,1/1/2014,5.38
135,AL,1/1/2015,5.5
136,AL,1/1/2014,6.67
138,AL,1/1/2014,5.58
140,AL,1/1/2014,3.36
141,AL,1/1/2015,3.2
142,AL,1/1/2014,14.05
143,AL,1/1/2015,15.2
144,AL,1/1/2014,10.96
145,AL,1/1/2015,9.5
146,AL,1/1/2014,14.06
147,AL,1/1/2015,14.6
148,AL,1/1/2014,4.29
149,AL,1/1/2015,3.6
151,AL,1/1/2015,15.3
154,AL,1/1/2014,6.76
155,AL,1/1/2015,6.2
156,AL,1/1/2014,9.42
157,AL,1/1/2015,9.4
158,AL,1/1/2014,13.71
159,AL,1/1/2015,12.6
160,AL,1/1/2014,3.37
161,AL,1/1/2015,3.6
162,AL,1/1/2014,5.31
163,AL,1/1/2015,5.3
166,AL,1/1/2014,8.7
167,AL,1/1/2015,9.2
168,AL,1/1/2014,7.6
169,AL,1/1/2015,8.4
170,AL,1/1/2014,9.54
171,AL,1/1/2015,8.3
172,AL,1/1/2014,6.52
173,AL,1/1/2015,6.5
174,AL,1/1/2014,8.11
175,AL,1/1/2015,8.0
177,AL,1/1/2015,14.8
180,AR,1/1/2014,9.52
181,AR,1/1/2015,9.6
182,AR,1/1/2014,7.03
183,AR,1/1/2015,8.5
186,AR,1/1/2014,2.19
187,AR,1/1/2015,2.2
188,AR,1/1/2014,7.88
189,AR,1/1/2015,7.5
196,AR,1/1/2014,19.74
197,AR,1/1/2015,17.2
198,AR,1/1/2014,6.21
199,AR,1/1/2015,12.3
206,AR,1/1/2014,12.07
207,AR,1/1/2015,8.0
208,AR,1/1/2014,8.19
209,AR,1/1/2015,8.3
210,AR,1/1/2014,4.69
211,AR,1/1/2015,4.7
212,AR,1/1/2014,4.06
213,AR,1/1/2015,4.5
214,AR,1/1/2014,14.13
215,AR,1/1/2015,12.7
218,AR,1/1/2014,17.02
220,AR,1/1/2014,19.99
221,AR,1/1/2015,14.6
224,AR,1/1/2014,3.67
225,AR,1/1/2015,3.8
230,AR,1/1/2014,10.01
231,AR,1/1/2015,10.0
234,AR,1/1/2014,6.31
235,AR,1/1/2015,6.8
236,AR,1/1/2014,7.52
237,AR,1/1/2015,8.5
238,AR,1/1/2014,5.31
239,AR,1/1/2015,5.7
240,AR,1/1/2014,10.32
242,AR,1/1/2014,5.2
243,AR,1/1/2015,6.3
248,AR,1/1/2014,19.84
249,AR,1/1/2015,22.2
256,AR,1/1/2014,26.16
257,AR,1/1/2015,29.8
262,AR,1/1/2014,6.32
264,AR,1/1/2014,4.24
265,AR,1/1/2015,5.7
270,AR,1/1/2014,6.69
271,AR,1/1/2015,6.1
272,AR,1/1/2014,12.45
273,AR,1/1/2015,16.1
282,AR,1/1/2014,13.48
283,AR,1/1/2015,12.9
286,AR,1/1/2014,29.95
287,AR,1/1/2015,36.9
290,AR,1/1/2014,5.76
291,AR,1/1/2015,9.6
294,AR,1/1/2014,2.64
295,AR,1/1/2015,3.1
298,AR,1/1/2014,15.81
299,AR,1/1/2015,15.9
302,AR,1/1/2014,4.31
303,AR,1/1/2015,4.4
308,AR,1/1/2014,5.02
309,AR,1/1/2015,5.1
310,AR,1/1/2014,9.53
314,AR,1/1/2014,10.55
315,AR,1/1/2015,11.9
318,AR,1/1/2014,14.44
319,AR,1/1/2015,13.3
322,AR,1/1/2014,2.82
323,AR,1/1/2015,2.0
324,AR,1/1/2014,3.68
325,AR,1/1/2015,4.6
330,AZ,1/1/2014,13.11
331,AZ,1/1/2015,14.7
332,AZ,1/1/2014,5.03
333,AZ,1/1/2015,5.3
334,AZ,1/1/2014,6.37
335,AZ,1/1/2015,7.2
336,AZ,1/1/2014,10.01
337,AZ,1/1/2015,9.8
338,AZ,1/1/2014,4.47
339,AZ,1/1/2015,4.9
342,AZ,1/1/2014,6.99
343,AZ,1/1/2015,11.2
344,AZ,1/1/2014,8.35
345,AZ,1/1/2015,7.0
346,AZ,1/1/2014,7.47
347,AZ,1/1/2015,8.0
348,AZ,1/1/2014,12.4
349,AZ,1/1/2015,12.2
350,AZ,1/1/2014,8.55
351,AZ,1/1/2015,8.1
352,AZ,1/1/2014,6.78
353,AZ,1/1/2015,6.2
354,AZ,1/1/2014,3.49
355,AZ,1/1/2015,4.9
356,AZ,1/1/2014,3.57
357,AZ,1/1/2015,4.8
358,AZ,1/1/2014,4.53
359,AZ,1/1/2015,3.8
360,CA,1/1/2014,9.69
361,CA,1/1/2015,9.4
364,CA,1/1/2014,4.14
365,CA,1/1/2015,4.5
366,CA,1/1/2014,3.44
370,CA,1/1/2014,9.01
371,CA,1/1/2015,8.8
372,CA,1/1/2014,8.56
373,CA,1/1/2015,8.0
374,CA,1/1/2014,2.58
375,CA,1/1/2015,3.0
376,CA,1/1/2014,8.18
377,CA,1/1/2015,7.6
380,CA,1/1/2014,4.21
381,CA,1/1/2015,3.7
382,CA,1/1/2014,3.22
383,CA,1/1/2015,3.2
386,CA,1/1/2014,8.49
387,CA,1/1/2015,8.2
388,CA,1/1/2014,4.31
389,CA,1/1/2015,4.8
390,CA,1/1/2014,5.79
391,CA,1/1/2015,7.2
392,CA,1/1/2014,5.32
393,CA,1/1/2015,4.4
394,CA,1/1/2014,9.21
395,CA,1/1/2015,7.2
396,CA,1/1/2014,6.2
397,CA,1/1/2015,5.2
398,CA,1/1/2014,2.02
399,CA,1/1/2015,1.7
402,CA,1/1/2014,6.03
403,CA,1/1/2015,6.3
404,CA,1/1/2014,8.66
405,CA,1/1/2015,7.6
410,CA,1/1/2014,8.28
411,CA,1/1/2015,8.6
412,CA,1/1/2014,1.93
413,CA,1/1/2015,1.4
414,CA,1/1/2014,2.19
415,CA,1/1/2015,2.3
416,CA,1/1/2014,2.74
417,CA,1/1/2015,2.4
418,CA,1/1/2014,1.57
419,CA,1/1/2015,1.8
422,CA,1/1/2014,5.13
423,CA,1/1/2015,4.5
424,CA,1/1/2014,6.98
425,CA,1/1/2015,6.3
426,CA,1/1/2014,3.41
427,CA,1/1/2015,5.0
428,CA,1/1/2014,8.17
429,CA,1/1/2015,6.5
430,CA,1/1/2014,3.68
431,CA,1/1/2015,3.1
432,CA,1/1/2014,8.37
433,CA,1/1/2015,7.2
434,CA,1/1/2014,7.59
435,CA,1/1/2015,9.4
436,CA,1/1/2014,2.17
437,CA,1/1/2015,2.2
438,CA,1/1/2014,3.71
439,CA,1/1/2015,3.3
440,CA,1/1/2014,2.35
441,CA,1/1/2015,2.6
442,CA,1/1/2014,2.67
443,CA,1/1/2015,2.6
444,CA,1/1/2014,3.24
445,CA,1/1/2015,3.7
446,CA,1/1/2014,4.13
447,CA,1/1/2015,4.5
450,CA,1/1/2014,4.8
451,CA,1/1/2015,4.5
452,CA,1/1/2014,8.02
453,CA,1/1/2015,8.2
454,CA,1/1/2014,2.33
455,CA,1/1/2015,2.4
456,CA,1/1/2014,6.36
457,CA,1/1/2015,6.5
458,CA,1/1/2014,5.14
459,CA,1/1/2015,4.8
460,CA,1/1/2014,5.08
461,CA,1/1/2015,5.9
464,CA,1/1/2014,9.22
465,CA,1/1/2015,8.7
468,CA,1/1/2014,3.53
469,CA,1/1/2015,2.8
470,CA,1/1/2014,1.63
471,CA,1/1/2015,1.6
472,CA,1/1/2014,5.15
473,CA,1/1/2015,5.2
474,CO,1/1/2014,4.79
475,CO,1/1/2015,4.4
478,CO,1/1/2014,4.13
479,CO,1/1/2015,3.7
486,CO,1/1/2014,1.29
487,CO,1/1/2015,1.2
488,CO,1/1/2014,2.81
489,CO,1/1/2015,3.5
505,CO,1/1/2015,5.0
506,CO,1/1/2014,9.2
507,CO,1/1/2015,7.3
510,CO,1/1/2014,1.25
511,CO,1/1/2015,1.5
514,CO,1/1/2014,4.2
515,CO,1/1/2015,4.4
518,CO,1/1/2014,4.57
519,CO,1/1/2015,4.5
530,CO,1/1/2014,1.96
531,CO,1/1/2015,1.8
535,CO,1/1/2014,3.77
536,CO,1/1/2015,4.9
539,CO,1/1/2014,1.9
540,CO,1/1/2015,1.7
541,CO,1/1/2014,11.86
542,CO,1/1/2015,13.5
547,CO,1/1/2014,3.09
548,CO,1/1/2015,4.2
551,CO,1/1/2014,9.69
552,CO,1/1/2015,8.9
553,CO,1/1/2014,4.0
554,CO,1/1/2015,6.3
569,CO,1/1/2014,5.93
570,CO,1/1/2015,6.3
589,CO,1/1/2014,2.79
590,CO,1/1/2015,2.2
593,CT,1/1/2014,3.39
594,CT,1/1/2015,4.1
595,CT,1/1/2014,4.46
596,CT,1/1/2015,4.9
597,CT,1/1/2014,1.43
598,CT,1/1/2015,1.4
599,CT,1/1/2014,1.31
600,CT,1/1/2015,1.3
601,CT,1/1/2014,3.95
602,CT,1/1/2015,4.6
603,CT,1/1/2014,3.11
604,CT,1/1/2015,2.7
606,CT,1/1/2015,1.1
607,CT,1/1/2014,1.59
609,DC,1/1/2015,18.9
610,DE,1/1/2014,3.93
611,DE,1/1/2015,4.3
612,DE,1/1/2014,7.49
613,DE,1/1/2015,7.7
614,DE,1/1/2014,2.99
615,DE,1/1/2015,3.3
616,FL,1/1/2014,4.63
617,FL,1/1/2015,4.5
618,FL,1/1/2014,7.15
619,FL,1/1/2015,6.1
620,FL,1/1/2014,5.89
621,FL,1/1/2015,6.9
624,FL,1/1/2014,5.25
625,FL,1/1/2015,6.1
626,FL,1/1/2014,5.08
627,FL,1/1/2015,5.3
630,FL,1/1/2014,3.15
631,FL,1/1/2015,3.1
632,FL,1/1/2014,3.41
633,FL,1/1/2015,4.9
634,FL,1/1/2014,5.23
635,FL,1/1/2015,4.9
636,FL,1/1/2014,3.93
637,FL,1/1/2015,4.6
638,FL,1/1/2014,5.89
639,FL,1/1/2015,6.5
640,FL,1/1/2014,4.58
644,FL,1/1/2014,13.97
645,FL,1/1/2015,13.0
646,FL,1/1/2014,7.38
647,FL,1/1/2015,7.7
648,FL,1/1/2014,2.48
649,FL,1/1/2015,3.8
652,FL,1/1/2014,9.05
653,FL,1/1/2015,7.9
660,FL,1/1/2014,9.84
662,FL,1/1/2014,5.23
663,FL,1/1/2015,5.5
664,FL,1/1/2014,9.99
665,FL,1/1/2015,13.3
666,FL,1/1/2014,2.68
667,FL,1/1/2015,3.5
668,FL,1/1/2014,4.39
669,FL,1/1/2015,5.9
670,FL,1/1/2014,5.53
671,FL,1/1/2015,5.4
674,FL,1/1/2014,3.44
675,FL,1/1/2015,4.3
676,FL,1/1/2014,11.12
677,FL,1/1/2015,9.5
682,FL,1/1/2014,3.79
683,FL,1/1/2015,4.4
684,FL,1/1/2014,6.84
685,FL,1/1/2015,8.4
686,FL,1/1/2014,3.86
687,FL,1/1/2015,4.2
688,FL,1/1/2014,4.32
692,FL,1/1/2014,8.17
693,FL,1/1/2015,7.3
694,FL,1/1/2014,6.19
695,FL,1/1/2015,7.6
696,FL,1/1/2014,5.25
697,FL,1/1/2015,5.8
698,FL,1/1/2014,3.49
699,FL,1/1/2015,4.3
700,FL,1/1/2014,9.23
701,FL,1/1/2015,9.1
702,FL,1/1/2014,4.63
703,FL,1/1/2015,4.3
704,FL,1/1/2014,4.33
705,FL,1/1/2015,4.0
706,FL,1/1/2014,3.05
707,FL,1/1/2015,3.1
708,FL,1/1/2014,5.41
709,FL,1/1/2015,4.8
710,FL,1/1/2014,8.31
711,FL,1/1/2015,7.9
712,FL,1/1/2014,5.13
713,FL,1/1/2015,4.7
714,FL,1/1/2014,7.13
715,FL,1/1/2015,7.9
716,FL,1/1/2014,4.93
717,FL,1/1/2015,4.7
718,FL,1/1/2014,5.47
719,FL,1/1/2015,5.8
720,FL,1/1/2014,5.42
721,FL,1/1/2015,6.3
722,FL,1/1/2014,7.69
723,FL,1/1/2015,8.1
724,FL,1/1/2014,2.56
725,FL,1/1/2015,2.6
726,FL,1/1/2014,3.72
727,FL,1/1/2015,5.4
728,FL,1/1/2014,4.54
729,FL,1/1/2015,4.7
730,FL,1/1/2014,3.21
731,FL,1/1/2015,3.5
732,FL,1/1/2014,4.62
733,FL,1/1/2015,5.7
734,FL,1/1/2014,2.67
735,FL,1/1/2015,4.2
736,FL,1/1/2014,5.01
737,FL,1/1/2015,6.1
738,FL,1/1/2014,9.3
739,FL,1/1/2015,9.0
742,FL,1/1/2014,4.91
743,FL,1/1/2015,5.5
744,FL,1/1/2014,5.02
746,FL,1/1/2014,4.95
747,FL,1/1/2015,4.1
748,FL,1/1/2014,9.71
749,FL,1/1/2015,9.7
750,GA,1/1/2014,9.54
751,GA,1/1/2015,12.6
758,GA,1/1/2014,7.65
759,GA,1/1/2015,7.0
762,GA,1/1/2014,4.95
763,GA,1/1/2015,4.1
764,GA,1/1/2014,3.61
765,GA,1/1/2015,4.2
766,GA,1/1/2014,8.16
770,GA,1/1/2014,15.43
771,GA,1/1/2015,13.9
774,GA,1/1/2014,9.92
775,GA,1/1/2015,8.6
780,GA,1/1/2014,2.61
781,GA,1/1/2015,3.0
782,GA,1/1/2014,11.79
783,GA,1/1/2015,13.3
784,GA,1/1/2014,8.09
785,GA,1/1/2015,7.5
788,GA,1/1/2014,4.72
789,GA,1/1/2015,4.6
792,GA,1/1/2014,4.94
793,GA,1/1/2015,4.7
794,GA,1/1/2014,3.0
795,GA,1/1/2015,2.8
798,GA,1/1/2014,12.19
799,GA,1/1/2015,10.9
804,GA,1/1/2014,1.59
805,GA,1/1/2015,1.4
806,GA,1/1/2014,5.03
807,GA,1/1/2015,5.4
810,GA,1/1/2014,12.2
811,GA,1/1/2015,11.5
814,GA,1/1/2014,4.58
815,GA,1/1/2015,3.9
816,GA,1/1/2014,6.61
817,GA,1/1/2015,6.2
818,GA,1/1/2014,11.64
819,GA,1/1/2015,8.7
820,GA,1/1/2014,2.01
821,GA,1/1/2015,2.5
822,GA,1/1/2014,9.35
823,GA,1/1/2015,8.8
824,GA,1/1/2014,4.15
825,GA,1/1/2015,4.7
828,GA,1/1/2014,11.82
829,GA,1/1/2015,15.2
834,GA,1/1/2014,13.97
835,GA,1/1/2015,13.0
836,GA,1/1/2014,7.18
837,GA,1/1/2015,7.6
838,GA,1/1/2014,8.11
839,GA,1/1/2015,6.8
842,GA,1/1/2014,8.92
843,GA,1/1/2015,9.6
844,GA,1/1/2014,4.77
845,GA,1/1/2015,4.1
850,GA,1/1/2014,4.1
851,GA,1/1/2015,4.5
854,GA,1/1/2014,9.68
855,GA,1/1/2015,12.4
860,GA,1/1/2014,3.16
861,GA,1/1/2015,3.4
862,GA,1/1/2014,4.34
863,GA,1/1/2015,4.6
864,GA,1/1/2014,1.38
865,GA,1/1/2015,1.6
868,GA,1/1/2014,13.8
869,GA,1/1/2015,11.4
874,GA,1/1/2014,9.96
875,GA,1/1/2015,11.9
876,GA,1/1/2014,4.59
877,GA,1/1/2015,4.9
879,GA,1/1/2015,5.6
882,GA,1/1/2014,5.37
883,GA,1/1/2015,4.7
886,GA,1/1/2014,3.1
887,GA,1/1/2015,3.4
890,GA,1/1/2014,5.04
891,GA,1/1/2015,5.2
892,GA,1/1/2014,4.78
898,GA,1/1/2014,4.4
899,GA,1/1/2015,5.1
900,GA,1/1/2014,4.76
901,GA,1/1/2015,4.6
904,GA,1/1/2014,4.35
905,GA,1/1/2015,3.2
910,GA,1/1/2014,9.28
911,GA,1/1/2015,9.5
922,GA,1/1/2014,6.3
923,GA,1/1/2015,6.1
926,GA,1/1/2014,7.59
927,GA,1/1/2015,7.9
932,GA,1/1/2014,6.12
933,GA,1/1/2015,4.8
937,GA,1/1/2015,9.3
938,GA,1/1/2014,5.18
939,GA,1/1/2015,6.2
942,GA,1/1/2014,7.27
943,GA,1/1/2015,8.4
946,GA,1/1/2014,7.62
947,GA,1/1/2015,8.3
952,GA,1/1/2014,6.21
953,GA,1/1/2015,6.5
960,GA,1/1/2014,11.38
961,GA,1/1/2015,9.9
962,GA,1/1/2014,6.15
963,GA,1/1/2015,6.3
968,GA,1/1/2014,2.91
969,GA,1/1/2015,2.2
970,GA,1/1/2014,5.44
971,GA,1/1/2015,6.0
973,GA,1/1/2015,4.8
978,GA,1/1/2014,7.72
979,GA,1/1/2015,5.8
990,GA,1/1/2014,11.64
991,GA,1/1/2015,13.3
992,GA,1/1/2014,6.84
993,GA,1/1/2015,6.0
996,GA,1/1/2014,11.52
997,GA,1/1/2015,10.3
1000,GA,1/1/2014,5.71
1001,GA,1/1/2015,7.6
1003,GA,1/1/2015,6.5
1006,GA,1/1/2014,6.53
1007,GA,1/1/2015,6.6
1012,GA,1/1/2014,10.15
1013,GA,1/1/2015,7.9
1016,GA,1/1/2014,10.91
1017,GA,1/1/2015,8.9
1020,GA,1/1/2014,5.83
1021,GA,1/1/2015,6.0
1022,GA,1/1/2014,11.94
1023,GA,1/1/2015,8.7
1024,GA,1/1/2014,6.37
1025,GA,1/1/2015,5.9
1030,GA,1/1/2014,4.41
1031,GA,1/1/2015,5.5
1040,GA,1/1/2014,3.84
1041,GA,1/1/2015,2.7
1042,GA,1/1/2014,4.35
1043,GA,1/1/2015,4.6
1044,GA,1/1/2014,6.4
1045,GA,1/1/2015,5.8
1050,GA,1/1/2014,8.77
1051,GA,1/1/2015,9.5
1057,GA,1/1/2015,6.0
1058,GA,1/1/2014,3.06
1059,GA,1/1/2015,2.4
1066,GA,1/1/2014,8.54
1067,GA,1/1/2015,9.3
1068,HI,1/1/2014,2.19
1069,HI,1/1/2015,2.2
1070,HI,1/1/2014,2.0
1071,HI,1/1/2015,1.7
1072,HI,1/1/2014,2.88
1073,HI,1/1/2015,2.1
1074,HI,1/1/2014,1.25
1075,HI,1/1/2015,1.1
1088,IA,1/1/2014,2.56
1089,IA,1/1/2015,2.5
1132,IA,1/1/2014,3.54
1136,IA,1/1/2014,1.55
1137,IA,1/1/2015,1.7
1178,IA,1/1/2014,1.83
1179,IA,1/1/2015,2.3
1188,IA,1/1/2014,1.74
1189,IA,1/1/2015,1.9
1214,IA,1/1/2014,3.38
1228,IA,1/1/2014,2.74
1229,IA,1/1/2015,2.4
1230,IA,1/1/2014,3.75
1231,IA,1/1/2015,3.7
1238,IA,1/1/2014,3.99
1239,IA,1/1/2015,3.2
1245,IA,1/1/2015,2.2
1262,IA,1/1/2014,3.72
1268,IA,1/1/2014,2.82
1269,IA,1/1/2015,2.2
1274,ID,1/1/2014,1.93
1275,ID,1/1/2015,2.0
1279,ID,1/1/2015,2.2
1292,ID,1/1/2014,2.35
1293,ID,1/1/2015,2.3
1298,ID,1/1/2014,2.67
1299,ID,1/1/2015,2.0
1324,ID,1/1/2014,2.28
1325,ID,1/1/2015,1.8
1352,ID,1/1/2014,2.15
1353,ID,1/1/2015,2.0
1358,IL,1/1/2014,2.77
1359,IL,1/1/2015,2.7
1376,IL,1/1/2014,2.78
1377,IL,1/1/2015,2.6
1386,IL,1/1/2014,2.67
1387,IL,1/1/2015,3.3
1388,IL,1/1/2014,11.58
1389,IL,1/1/2015,10.9
1400,IL,1/1/2014,1.49
1401,IL,1/1/2015,1.5
1432,IL,1/1/2014,5.68
1438,IL,1/1/2014,3.63
1439,IL,1/1/2015,4.5
1446,IL,1/1/2014,2.55
1447,IL,1/1/2015,2.1
1448,IL,1/1/2014,3.61
1449,IL,1/1/2015,4.4
1450,IL,1/1/2014,2.64
1451,IL,1/1/2015,2.0
1454,IL,1/1/2014,1.26
1455,IL,1/1/2015,1.5
1456,IL,1/1/2014,2.74
1457,IL,1/1/2015,2.7
1466,IL,1/1/2014,6.19
1467,IL,1/1/2015,7.9
1470,IL,1/1/2014,4.76
1471,IL,1/1/2015,4.3
1473,IL,1/1/2015,3.9
1482,IL,1/1/2014,1.37
1483,IL,1/1/2015,1.4
1484,IL,1/1/2014,2.08
1485,IL,1/1/2015,1.7
1494,IL,1/1/2014,3.98
1500,IL,1/1/2014,9.06
1501,IL,1/1/2015,9.6
1518,IL,1/1/2014,3.97
1519,IL,1/1/2015,3.6
1522,IL,1/1/2014,5.29
1523,IL,1/1/2015,6.2
1530,IL,1/1/2014,15.1
1531,IL,1/1/2015,16.2
1534,IL,1/1/2014,3.58
1535,IL,1/1/2015,3.3
1536,IL,1/1/2014,3.01
1537,IL,1/1/2015,2.9
1540,IL,1/1/2014,6.42
1541,IL,1/1/2015,5.8
1552,IL,1/1/2014,3.15
1553,IL,1/1/2015,3.3
1554,IL,1/1/2014,3.59
1555,IL,1/1/2015,3.6
1556,IL,1/1/2014,3.08
1557,IL,1/1/2015,3.6
1558,IL,1/1/2014,6.71
1559,IL,1/1/2015,6.4
1564,IN,1/1/2014,6.6
1565,IN,1/1/2015,6.4
1566,IN,1/1/2014,1.9
1567,IN,1/1/2015,2.0
1572,IN,1/1/2014,2.67
1573,IN,1/1/2015,2.7
1580,IN,1/1/2014,2.3
1581,IN,1/1/2015,2.7
1593,IN,1/1/2015,3.6
1596,IN,1/1/2014,3.16
1597,IN,1/1/2015,2.9
1600,IN,1/1/2014,3.22
1601,IN,1/1/2015,3.8
1604,IN,1/1/2014,3.33
1605,IN,1/1/2015,2.9
1609,IN,1/1/2015,6.9
1614,IN,1/1/2014,2.84
1615,IN,1/1/2015,3.3
1618,IN,1/1/2014,1.08
1619,IN,1/1/2015,0.7
1624,IN,1/1/2014,1.47
1625,IN,1/1/2015,1.2
1626,IN,1/1/2014,3.81
1627,IN,1/1/2015,3.2
1628,IN,1/1/2014,4.44
1629,IN,1/1/2015,3.8
1634,IN,1/1/2014,4.38
1642,IN,1/1/2014,1.83
1643,IN,1/1/2015,2.2
1648,IN,1/1/2014,4.14
1649,IN,1/1/2015,4.2
1652,IN,1/1/2014,17.86
1653,IN,1/1/2015,17.1
1654,IN,1/1/2014,4.02
1655,IN,1/1/2015,4.3
1656,IN,1/1/2014,3.92
1657,IN,1/1/2015,3.9
1658,IN,1/1/2014,13.05
1659,IN,1/1/2015,12.3
1666,IN,1/1/2014,2.16
1667,IN,1/1/2015,2.9
1688,IN,1/1/2014,2.14
1689,IN,1/1/2015,2.3
1702,IN,1/1/2014,5.95
1703,IN,1/1/2015,7.1
1704,IN,1/1/2014,3.24
1705,IN,1/1/2015,4.4
1708,IN,1/1/2014,5.59
1709,IN,1/1/2015,6.0
1718,IN,1/1/2014,2.07
1719,IN,1/1/2015,1.4
1724,IN,1/1/2014,4.27
1725,IN,1/1/2015,4.0
1728,IN,1/1/2014,3.76
1729,IN,1/1/2015,4.1
1738,IN,1/1/2014,2.06
1739,IN,1/1/2015,3.3
1789,KS,1/1/2014,1.99
1800,KS,1/1/2015,4.0
1805,KS,1/1/2014,7.28
1806,KS,1/1/2015,6.5
1831,KS,1/1/2014,1.75
1832,KS,1/1/2015,1.6
1841,KS,1/1/2014,2.13
1842,KS,1/1/2015,3.4
1863,KS,1/1/2014,4.44
1864,KS,1/1/2015,5.1
1893,KS,1/1/2014,2.46
1894,KS,1/1/2015,3.2
1907,KS,1/1/2014,4.7
1908,KS,1/1/2015,5.2
1911,KS,1/1/2014,5.95
1912,KS,1/1/2015,5.9
1915,KS,1/1/2014,6.64
1916,KS,1/1/2015,8.8
1943,KS,1/1/2014,18.69
1944,KS,1/1/2015,17.9
1953,KY,1/1/2014,3.81
1954,KY,1/1/2015,3.9
1957,KY,1/1/2014,5.93
1958,KY,1/1/2015,4.7
1959,KY,1/1/2014,2.31
1960,KY,1/1/2015,2.5
1962,KY,1/1/2015,7.4
1963,KY,1/1/2014,3.47
1969,KY,1/1/2014,11.91
1973,KY,1/1/2014,2.61
1974,KY,1/1/2015,2.1
1981,KY,1/1/2014,2.74
1982,KY,1/1/2015,2.5
1987,KY,1/1/2014,10.29
1988,KY,1/1/2015,8.2
1991,KY,1/1/2014,6.3
1992,KY,1/1/2015,6.8
1993,KY,1/1/2014,4.49
1994,KY,1/1/2015,6.6
2003,KY,1/1/2014,3.32
2004,KY,1/1/2015,3.0
2009,KY,1/1/2014,11.61
2011,KY,1/1/2014,5.49
2012,KY,1/1/2015,4.8
2015,KY,1/1/2014,6.74
2016,KY,1/1/2015,6.9
2017,KY,1/1/2014,2.92
2018,KY,1/1/2015,3.9
2027,KY,1/1/2014,3.87
2028,KY,1/1/2015,6.3
2037,KY,1/1/2014,2.74
2038,KY,1/1/2015,3.4
2039,KY,1/1/2014,5.25
2045,KY,1/1/2014,4.68
2046,KY,1/1/2015,4.6
2051,KY,1/1/2014,3.66
2052,KY,1/1/2015,2.9
2055,KY,1/1/2014,9.18
2056,KY,1/1/2015,9.1
2059,KY,1/1/2014,6.13
2060,KY,1/1/2015,6.4
2061,KY,1/1/2014,3.92
2062,KY,1/1/2015,3.4
2066,KY,1/1/2015,5.1
2069,KY,1/1/2014,5.96
2070,KY,1/1/2015,5.3
2077,KY,1/1/2014,5.83
2089,KY,1/1/2014,3.2
2090,KY,1/1/2015,3.8
2101,KY,1/1/2014,4.4
2102,KY,1/1/2015,5.0
2117,KY,1/1/2014,9.56
2118,KY,1/1/2015,7.6
2121,KY,1/1/2014,4.53
2137,KY,1/1/2014,7.94
2138,KY,1/1/2015,7.2
2139,KY,1/1/2014,6.11
2140,KY,1/1/2015,5.0
2142,KY,1/1/2015,11.0
2143,KY,1/1/2014,2.79
2144,KY,1/1/2015,2.9
2153,KY,1/1/2014,3.31
2156,KY,1/1/2015,4.3
2161,KY,1/1/2014,6.53
2162,KY,1/1/2015,7.4
2171,KY,1/1/2014,3.07
2172,KY,1/1/2015,2.8
